Greek Word,English Translation,Similar,Example Sentence
το τέλος,end,,"Αν η λειτουργία ανάληψης επιτύχει ενώ η λειτουργία κατάθεσης αποτύχει (ή ανάποδα), τα βιβλία της τράπεζας δε θα κλείσουν σωστά στο τέλος της ημέρας."
ο χρόνος,time,,"Από τη συμφόρηση το παράθυρο γίνεται βασισμένο στις αναγνωρίσεις επιστροφής, το TCP ξοδεύει έναν μακροχρόνιο χρόνο που ανακτεί από την απώλεια κατά λειτουργία στα δορυφορικά δίκτυα."
η ζωή,"life, zoe",,"Ακολουθεί το ""Valhalla"", ένα mid-tempo κομμάτι, του οποίου οι στίχοι έχουν να κάνουν με την μετά θάνατον ζωή των Βίκινγκ."
οι κάτοικοι,residents,,"Veenstra (1997), 46 Ο δούκας της Ορλεάνης συγκέντρωσε έναν μεγάλο στρατό αλλά ο Ιωάννης ο Άφοβος κάλεσε τους κατοίκους του Παρισιού να επαναστατήσουν."
τα μέλη,members,,"Kontor: Tα Kontore ήταν ξένοι εμπορικοί σταθμοί της Ένωσης, όχι Χανσεατικές πόλεις-μέλη και μπαίνουν σε ξεχωριστό πίνακα παρακάτω."
οι περιοχές,areas,,"Macdonald Coates & Bishop Σήμερα, ωστόσο, έχει εκριζωθεί από πολλές περιοχές της Παπούα."
"ίδιος, ίδια, ίδιο",same,,"CCAA, Walter Eder, Augustus and the Power of Tradition, 30. Σύμφωνα με τα καθιερωμένα δεν επιτρεπόταν να συνυπάρξουν στο ίδιο πρόσωπο τα αξιώματα του δημάρχου και του τιμητή, αν και ούτε ο ίδιος ο Αύγουστος εκλέχτηκε ποτέ επισήμως τιμητής."
η ιστορία,history,,"Harris 2017, σ. 78 Της δόθηκε πλήρη εκπαίδευση όπως και στις άλλες τρεις αδελφές της, όχι μόνο στο νοικοκυριό, αλλά και στα Λατινικά, σε αρκετές άλλες γλώσσες, στην ιστορία, στη φιλοσοφία και στις κλασικές σπουδές."
κοντά,close,,"Janin (1964), p. 204 Υπήρχαν δύο κρίσιμα στοιχεία, που οδήγησαν στον προσδιορισμό της κατασκευής: η ανέγερσή της κοντά στο τείχος του Κωνσταντίνου και η περιγραφή της ως ""μεγίστης""."
το μέλος,member,,"Αμέσως μετά, ο Αραγκό εκλέχθηκε μέλος του Bureau des Longitudes και συνεισέφερε στην καθεμιά από τις ετήσιες εκθέσεις του για τα επόμενα 22 χρόνια περίπου σημαντικές σημειώσεις Αστρονομίας, Μετεωρολογίας και κάποτε και Πολιτικής Μηχανικής."
γίνει,"done, happen",,"Galfredus Malaterra; Kenneth Baxter Wolf, The deeds of Count Roger of Calabria and Sicily and of his brother Duke Robert Guiscard (Ann Arbor: University of Michigan Press, 2005), p. 17 Οι Άραβες ηγέτες είχαν γίνει ανεξάρτητοι του σουλτάνου της Τύνιδας."
επί,on,,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
τελευταία,last,,"Fine, Late Medieval Balkans, p. 304. Αυτή η ειρηνική αλλαγή ήταν η τελευταία μεγάλη επιτυχία στην εξωτερική πολιτική του Ιβάν-Αλεξάνταρ."
τα έργα,projects,,"Άλλα έργα εν γένει συμφωνούν, αν και οι ακριβείς ώρες των συμβάντων μπορεί να διαφέρουν μεταξύ των πηγών."
γύρω,round,,"Από δω προέρχεται πιθανώς ένα άλλο επιτύμβιο ανάγλυφο Θράκα (του 1ου μ.Χ. αιώνα), που είχε βρεθεί παλιότερα στη γύρω περιοχή από κάτοικο του Αγίου Χριστοφόρου."
η εποχή,time,,"Kirby, The Earliest English Kings, p. 81. Σύμμαχος του Πέντα ήταν ο ανιψιός του Οσουί Έθελβαλντ ο οποίος ήταν εκείνη την εποχή βασιλιάς της Ντέιρα, ο Οσουί θεωρούσε την Ντέιρα δικό του βασίλειο και ήθελε τον οποιοδήποτε βασιλιά της χώρας υποτελή του."
σχεδόν,almost,,Ακόμα η τάση στην περιοχή κατάρρευσης είναι σχεδόν σταθερή και περίπου ίση με Uz.
έλαβε,received,,motions and stirrings' had been made Ανέλαβε πλήρως τη βασιλική εξουσία όταν ενηλικιώθηκε.
πέθανε,passed away,,"Darmstadt 2004, S. 1–26, hier: S. 7f Η Χέμμα πέθανε στο Ρέγκενσμπουργκ στα τέλη του Ιανουαρίου του 876, ο Λουδοβίκος ο Γερμανικός πέθανε λίγο αργότερα από ασθένεια στα ανάκτορα του στην Φραγκφούρτη (28 Αυγούστου 876)."
η Ελλάδα,"Hellas, Greece",,
η βάση,base,,H RegulonDB αποτελεί μια βάση δεδομένων στην οποία περιέχονται εκτενώς και αναλυτικά όλα τα απαραίτητα στοιχεία και αλληλεπιδράσεις που αφορούν το ρυθμιστικό δίκτυο του ζωντανού οργανισμού Escherichia coli.
η ηλικία,age,,"Αν είναι άνω των 21 ετών και συμμετέχει σε σεξουαλικές σχέσεις με ανηλίκους της ηλικίας αυτής, δεν αποτελεί αδίκημα από μόνη της."
τα παιδιά,children,,"Belyakova, p. 91 Ήταν ευγενικός και προσεκτικός με την Όλγα, αλλά εκείνη λαχταρούσε αγάπη, κανονικό γάμο και παιδιά."
ο χώρος,space,,"Ακόμα και έτσι πάντως, ο χώρος αποσκευών του XM είχε έναν φυσιολογικό για την κατηγορία E όγκο στα 455 λίτρα, έναντι 500 λίτρων του Peugeot 605."
δεν,not,,"CCAA, Walter Eder, Augustus and the Power of Tradition, 30. Σύμφωνα με τα καθιερωμένα δεν επιτρεπόταν να συνυπάρξουν στο ίδιο πρόσωπο τα αξιώματα του δημάρχου και του τιμητή, αν και ούτε ο ίδιος ο Αύγουστος εκλέχτηκε ποτέ επισήμως τιμητής."
"μεγαλύτερος, μεγαλύτερη, μεγαλύτερο",bigger,,Drake 2008 Με την σύσταση του Μεγάλου Κοινοβουλίου έγινε ένας από τους μεγαλύτερους επικριτές της βασιλικής πολιτικής.
ο πατέρας,father,,"Αμέσως μετά σε ένα ατυχές κυνήγι με τον πατέρα του στο νησί του Λιό (1223) οι δυο συμβασιλείς αιχμαλωτίστηκαν από τον Ερρίκο Α΄ του Σουερίν, έμειναν φυλακισμένοι ως το 1226."
σχετικά,about,,Ανακηρύχθηκε διδάκτωρ του Πανεπιστημίου του Ερλάγκεν με θέμα διατριβής σχετικά με τις χριστιανικές αρχαιότητες της Αττικής.
επειδή,because,,"Αθανασίου, από το οποίο ήταν απόλυτα εξαρτημένη, επειδή δεν είχαν δικά τους κτήματα, ούτε σπίτια οι της Άνω Σφηνίτσας και εργάζονταν στα κτήματα και τα ζώα του Μοναστηριού."
αρκετά,enough,,Αυτή είναι διάσπαρτη από αγγειακά στόμια φραγμένα με θρόμβους αίματος αρκετά ανώμαλος και φέρεται να εξέχει λίγο της λοιπής επιφάνειας της μήτρας.
ξεκίνησε,started,,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
όλα,all,,H RegulonDB αποτελεί μια βάση δεδομένων στην οποία περιέχονται εκτενώς και αναλυτικά όλα τα απαραίτητα στοιχεία και αλληλεπιδράσεις που αφορούν το ρυθμιστικό δίκτυο του ζωντανού οργανισμού Escherichia coli.
